frame,parts,x,y,prop
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,Nose,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,Neck,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RShoulder,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RElbow,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RWrist,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LShoulder,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LElbow,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LWrist,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,MidHip,136,253,0.5303880572319031
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RHip,101,254,0.5585260391235352
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RKnee,113,328,0.7550473213195801
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RAnkle,66,502,0.61407870054245
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LHip,172,243,0.48256123065948486
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LKnee,161,328,0.7880391478538513
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LAnkle,198,491,0.5981163382530212
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,REye,137,68,0.6273012757301331
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LEye,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,REar,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LEar,0,0,0
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LBigToe,186,515,0.49732106924057007
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LSmallToe,209,515,0.48034998774528503
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,LHeel,209,502,0.2965032160282135
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RBigToe,89,527,0.6446329951286316
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RSmallToe,77,527,0.631173312664032
f4d3bf84b32dcbedaa45605a506e9530aeec1220b3c7d842bef6aee52ce2a7ca9ff6048ce7e74ead7fa2e4e029bd29327fc7cc03f93051983c24f86b104ab568518cbc89da9bb06f4b1e5d3a27b3207d,RHeel,65,503,0.4332354664802551
