frame,parts,x,y,prop
sample_1_ki,Nose,0,0,0
sample_1_ki,Neck,0,0,0
sample_1_ki,RShoulder,0,0,0
sample_1_ki,RElbow,0,0,0
sample_1_ki,RWrist,0,0,0
sample_1_ki,LShoulder,0,0,0
sample_1_ki,LElbow,0,0,0
sample_1_ki,LWrist,0,0,0
sample_1_ki,MidHip,1915,947,0.19443857669830322
sample_1_ki,RHip,1544,821,0.1993596851825714
sample_1_ki,RKnee,1421,2464,0.22152264416217804
sample_1_ki,RAnkle,1421,3725,0.10767804831266403
sample_1_ki,LHip,2409,947,0.18043996393680573
sample_1_ki,LKnee,2163,2715,0.2610597014427185
sample_1_ki,LAnkle,0,0,0
sample_1_ki,REye,0,0,0
sample_1_ki,LEye,0,0,0
sample_1_ki,REar,0,0,0
sample_1_ki,LEar,0,0,0
sample_1_ki,LBigToe,0,0,0
sample_1_ki,LSmallToe,0,0,0
sample_1_ki,LHeel,0,0,0
sample_1_ki,RBigToe,0,0,0
sample_1_ki,RSmallToe,0,0,0
sample_1_ki,RHeel,0,0,0
