frame,parts,x,y,prop
sample_3_ni,Nose,0,0,0
sample_3_ni,Neck,0,0,0
sample_3_ni,RShoulder,0,0,0
sample_3_ni,RElbow,0,0,0
sample_3_ni,RWrist,0,0,0
sample_3_ni,LShoulder,0,0,0
sample_3_ni,LElbow,0,0,0
sample_3_ni,LWrist,0,0,0
sample_3_ni,MidHip,1363,1245,0.4112311899662018
sample_3_ni,RHip,1007,1246,0.4085944890975952
sample_3_ni,RKnee,1125,2907,0.34894615411758423
sample_3_ni,RAnkle,1362,4451,0.49032559990882874
sample_3_ni,LHip,1835,1245,0.42090123891830444
sample_3_ni,LKnee,1954,3026,0.35735270380973816
sample_3_ni,LAnkle,2191,4331,0.1397503912448883
sample_3_ni,REye,0,0,0
sample_3_ni,LEye,0,0,0
sample_3_ni,REar,0,0,0
sample_3_ni,LEar,0,0,0
sample_3_ni,LBigToe,0,0,0
sample_3_ni,LSmallToe,0,0,0
sample_3_ni,LHeel,0,0,0
sample_3_ni,RBigToe,1363,4689,0.10086838901042938
sample_3_ni,RSmallToe,1243,4688,0.14161242544651031
sample_3_ni,RHeel,1480,4569,0.25949087738990784
