frame,parts,x,y,prop
sample_7_ys,Nose,0,0,0
sample_7_ys,Neck,0,0,0
sample_7_ys,RShoulder,0,0,0
sample_7_ys,RElbow,0,0,0
sample_7_ys,RWrist,0,0,0
sample_7_ys,LShoulder,0,0,0
sample_7_ys,LElbow,0,0,0
sample_7_ys,LWrist,0,0,0
sample_7_ys,MidHip,1296,286,0.33717069029808044
sample_7_ys,RHip,847,286,0.2968280613422394
sample_7_ys,RKnee,846,1885,0.35926103591918945
sample_7_ys,RAnkle,1071,3830,0.281139999628067
sample_7_ys,LHip,1635,399,0.3345717787742615
sample_7_ys,LKnee,1972,2343,0.4933868944644928
sample_7_ys,LAnkle,1861,3714,0.4211841821670532
sample_7_ys,REye,0,0,0
sample_7_ys,LEye,0,0,0
sample_7_ys,REar,0,0,0
sample_7_ys,LEar,0,0,0
sample_7_ys,LBigToe,1636,3829,0.16302365064620972
sample_7_ys,LSmallToe,1973,3830,0.19374604523181915
sample_7_ys,LHeel,1861,3716,0.232230544090271
sample_7_ys,RBigToe,0,0,0
sample_7_ys,RSmallToe,0,0,0
sample_7_ys,RHeel,1184,3944,0.14841388165950775
