frame,parts,x,y,prop
sample_1_ki,Nose,0,0,0
sample_1_ki,Neck,0,0,0
sample_1_ki,RShoulder,0,0,0
sample_1_ki,RElbow,0,0,0
sample_1_ki,RWrist,0,0,0
sample_1_ki,LShoulder,0,0,0
sample_1_ki,LElbow,0,0,0
sample_1_ki,LWrist,0,0,0
sample_1_ki,MidHip,191,94,0.20087581872940063
sample_1_ki,RHip,153,82,0.20163199305534363
sample_1_ki,RKnee,142,257,0.2233467847108841
sample_1_ki,RAnkle,142,372,0.11657392233610153
sample_1_ki,LHip,240,95,0.18564046919345856
sample_1_ki,LKnee,217,272,0.25340431928634644
sample_1_ki,LAnkle,0,0,0
sample_1_ki,REye,0,0,0
sample_1_ki,LEye,0,0,0
sample_1_ki,REar,0,0,0
sample_1_ki,LEar,0,0,0
sample_1_ki,LBigToe,0,0,0
sample_1_ki,LSmallToe,0,0,0
sample_1_ki,LHeel,0,0,0
sample_1_ki,RBigToe,0,0,0
sample_1_ki,RSmallToe,0,0,0
sample_1_ki,RHeel,0,0,0
