frame,parts,x,y,prop
sample_2_kg,Nose,0,0,0.0
sample_2_kg,Neck,0,0,0.0
sample_2_kg,RShoulder,0,0,0.0
sample_2_kg,RElbow,0,0,0.0
sample_2_kg,RWrist,0,0,0.0
sample_2_kg,LShoulder,0,0,0.0
sample_2_kg,LElbow,0,0,0.0
sample_2_kg,LWrist,0,0,0.0
sample_2_kg,MidHip,153,47,0.1280485540628433
sample_2_kg,RHip,120,47,0.1523407846689224
sample_2_kg,RKnee,100,205,0.3400094509124756
sample_2_kg,RAnkle,140,364,0.1736180335283279
sample_2_kg,LHip,194,47,0.1139709427952766
sample_2_kg,LKnee,194,227,0.4298546612262726
sample_2_kg,LAnkle,0,0,0.0
sample_2_kg,REye,0,0,0.0
sample_2_kg,LEye,0,0,0.0
sample_2_kg,REar,0,0,0.0
sample_2_kg,LEar,0,0,0.0
sample_2_kg,LBigToe,0,0,0.0
sample_2_kg,LSmallToe,0,0,0.0
sample_2_kg,LHeel,0,0,0.0
sample_2_kg,RBigToe,0,0,0.0
sample_2_kg,RSmallToe,0,0,0.0
sample_2_kg,RHeel,0,0,0.0
sample_7_ys,Nose,0,0,0.0
sample_7_ys,Neck,0,0,0.0
sample_7_ys,RShoulder,0,0,0.0
sample_7_ys,RElbow,0,0,0.0
sample_7_ys,RWrist,0,0,0.0
sample_7_ys,LShoulder,0,0,0.0
sample_7_ys,LElbow,0,0,0.0
sample_7_ys,LWrist,0,0,0.0
sample_7_ys,MidHip,265,303,0.1052331253886222
sample_7_ys,RHip,253,302,0.1126065477728843
sample_7_ys,RKnee,85,187,0.3456470668315887
sample_7_ys,RAnkle,107,383,0.278820663690567
sample_7_ys,LHip,163,39,0.3321461379528045
sample_7_ys,LKnee,196,233,0.4873206317424774
sample_7_ys,LAnkle,186,370,0.4189274311065674
sample_7_ys,REye,0,0,0.0
sample_7_ys,LEye,0,0,0.0
sample_7_ys,REar,0,0,0.0
sample_7_ys,LEar,0,0,0.0
sample_7_ys,LBigToe,164,382,0.1624391674995422
sample_7_ys,LSmallToe,196,382,0.1926534920930862
sample_7_ys,LHeel,186,372,0.225752517580986
sample_7_ys,RBigToe,0,0,0.0
sample_7_ys,RSmallToe,0,0,0.0
sample_7_ys,RHeel,118,394,0.1481881439685821
sample_1_ki,Nose,0,0,0.0
sample_1_ki,Neck,0,0,0.0
sample_1_ki,RShoulder,0,0,0.0
sample_1_ki,RElbow,0,0,0.0
sample_1_ki,RWrist,0,0,0.0
sample_1_ki,LShoulder,0,0,0.0
sample_1_ki,LElbow,0,0,0.0
sample_1_ki,LWrist,0,0,0.0
sample_1_ki,MidHip,191,94,0.2008758187294006
sample_1_ki,RHip,153,82,0.2016319930553436
sample_1_ki,RKnee,142,257,0.2233467847108841
sample_1_ki,RAnkle,142,372,0.1165739223361015
sample_1_ki,LHip,240,95,0.1856404691934585
sample_1_ki,LKnee,217,272,0.2534043192863464
sample_1_ki,LAnkle,0,0,0.0
sample_1_ki,REye,0,0,0.0
sample_1_ki,LEye,0,0,0.0
sample_1_ki,REar,0,0,0.0
sample_1_ki,LEar,0,0,0.0
sample_1_ki,LBigToe,0,0,0.0
sample_1_ki,LSmallToe,0,0,0.0
sample_1_ki,LHeel,0,0,0.0
sample_1_ki,RBigToe,0,0,0.0
sample_1_ki,RSmallToe,0,0,0.0
sample_1_ki,RHeel,0,0,0.0
sample_4_ks,Nose,0,0,0.0
sample_4_ks,Neck,0,0,0.0
sample_4_ks,RShoulder,0,0,0.0
sample_4_ks,RElbow,0,0,0.0
sample_4_ks,RWrist,0,0,0.0
sample_4_ks,LShoulder,0,0,0.0
sample_4_ks,LElbow,0,0,0.0
sample_4_ks,LWrist,0,0,0.0
sample_4_ks,MidHip,133,22,0.2614716291427612
sample_4_ks,RHip,96,24,0.221875861287117
sample_4_ks,RKnee,105,192,0.4174372553825378
sample_4_ks,RAnkle,0,0,0.0
sample_4_ks,LHip,169,22,0.2177838534116745
sample_4_ks,LKnee,170,173,0.3512369096279144
sample_4_ks,LAnkle,161,304,0.2782746255397796
sample_4_ks,REye,0,0,0.0
sample_4_ks,LEye,0,0,0.0
sample_4_ks,REar,0,0,0.0
sample_4_ks,LEar,0,0,0.0
sample_4_ks,LBigToe,0,0,0.0
sample_4_ks,LSmallToe,0,0,0.0
sample_4_ks,LHeel,161,306,0.1232055500149726
sample_4_ks,RBigToe,0,0,0.0
sample_4_ks,RSmallToe,0,0,0.0
sample_4_ks,RHeel,0,0,0.0
sample_3_ni,Nose,0,0,0.0
sample_3_ni,Neck,0,0,0.0
sample_3_ni,RShoulder,0,0,0.0
sample_3_ni,RElbow,0,0,0.0
sample_3_ni,RWrist,0,0,0.0
sample_3_ni,LShoulder,0,0,0.0
sample_3_ni,LElbow,0,0,0.0
sample_3_ni,LWrist,0,0,0.0
sample_3_ni,MidHip,137,124,0.4048036932945251
sample_3_ni,RHip,101,124,0.3972260951995849
sample_3_ni,RKnee,112,290,0.3504948616027832
sample_3_ni,RAnkle,135,445,0.4798203706741333
sample_3_ni,LHip,183,123,0.4134057164192199
sample_3_ni,LKnee,195,302,0.345152348279953
sample_3_ni,LAnkle,218,432,0.1358151137828827
sample_3_ni,REye,0,0,0.0
sample_3_ni,LEye,0,0,0.0
sample_3_ni,REar,0,0,0.0
sample_3_ni,LEar,0,0,0.0
sample_3_ni,LBigToe,0,0,0.0
sample_3_ni,LSmallToe,0,0,0.0
sample_3_ni,LHeel,0,0,0.0
sample_3_ni,RBigToe,137,469,0.1007435843348503
sample_3_ni,RSmallToe,124,469,0.1404872387647628
sample_3_ni,RHeel,147,456,0.2569034695625305
sample_5_hy,Nose,0,0,0.0
sample_5_hy,Neck,0,0,0.0
sample_5_hy,RShoulder,0,0,0.0
sample_5_hy,RElbow,0,0,0.0
sample_5_hy,RWrist,0,0,0.0
sample_5_hy,LShoulder,0,0,0.0
sample_5_hy,LElbow,0,0,0.0
sample_5_hy,LWrist,0,0,0.0
sample_5_hy,MidHip,28,200,0.3286210298538208
sample_5_hy,RHip,0,200,0.325350672006607
sample_5_hy,RKnee,0,277,0.5631821155548096
sample_5_hy,RAnkle,0,353,0.3950858414173126
sample_5_hy,LHip,50,200,0.3051410317420959
sample_5_hy,LKnee,49,277,0.5019935369491577
sample_5_hy,LAnkle,190,386,0.4534481465816498
sample_5_hy,REye,0,39,0.3879805505275726
sample_5_hy,LEye,0,0,0.0
sample_5_hy,REar,0,0,0.0
sample_5_hy,LEar,0,0,0.0
sample_5_hy,LBigToe,178,409,0.203960582613945
sample_5_hy,LSmallToe,190,418,0.2248900085687637
sample_5_hy,LHeel,190,407,0.1927279978990554
sample_5_hy,RBigToe,0,364,0.1947736293077469
sample_5_hy,RSmallToe,0,364,0.1809605658054351
sample_5_hy,RHeel,115,363,0.1226604133844375
